Date,Amount,Orig_Acct_ID,Orig_Name,Orig_Crncy,Orig_Risk,Bene_Acct_ID,Bene_Name,Bene_Risk,Rcv_Crncy,Risk_Rtg
2020-01-08,2400.97,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,GBP,81.4
2020-01-08,39000,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,51.2
2020-01-08,1768.25,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,AUD,6.4
2020-01-09,4671.48,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,EUR,52.1
2020-01-09,1355.79,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,GBP,41.4
2020-01-09,77.93,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,CAD,82.2
2020-01-09,5684,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,14.7
2020-01-09,5000,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,GBP,49.9
2020-01-09,36299.25,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,EUR,44
2020-01-09,44692,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,72.5
2020-01-09,65846.73,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,MXN,19.3
2020-01-09,2758.16,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,IDR,30.7
2020-01-09,7313.9,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,GBP,55.1
2020-01-09,3707.43,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,54.9
2020-01-09,25000,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,EUR,28.5
2020-01-09,2398.33,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,56.6
2020-01-09,10638.4,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,GBP,89
2020-01-09,34142.42,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,GBP,29.3
2020-01-09,13820.77,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,EUR,30.7
2020-01-09,4692.3,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,JPY,87.9
2020-01-09,4751.21,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,EUR,90.2
2020-01-10,121628.86,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,33.6
2020-01-10,8848.13,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,CAD,57.8
2020-01-10,7627,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,INR,42.4
2020-01-10,2627.3,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,GBP,75
2020-01-10,1317932.92,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,GBP,45.6
2020-01-10,6736.79,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,GBP,76.2
2020-01-10,212.66,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,GBP,80
2020-01-10,8322.95,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,GBP,95.3
2020-01-10,65956.1,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,PLN,56.8
2020-01-10,14853.42,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,GBP,2.9
2020-01-10,223100,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,48.6
2020-01-10,6052.73,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,GBP,40.2
2020-01-10,68.01,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,78.9
2020-01-10,674.06,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,MXN,44.7
2020-01-10,5675.5,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,GBP,32.8
2020-01-10,3123.95,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,88.6
2020-01-10,32395.92,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,GBP,81.3
2020-01-10,169.32,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,38.7
2020-01-10,17259.39,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,GBP,46.4
2020-01-10,707.47,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,85.9
2020-01-10,54.1,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,AUD,73.1
2020-01-10,105.15,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,CHF,15.8
2020-01-10,216.42,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,GBP,23.7
2020-01-10,1307.93,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,EUR,75
2020-01-10,1086.96,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,CHF,30.6
2020-01-13,50484.49,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,98.8
2020-01-13,24654.99,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,41.5
2020-01-13,32070.15,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,31.4
2020-01-13,13588.7,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,59
2020-01-13,8350.5,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,EUR,61.9
2020-01-13,83737.5,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,31.5
2020-01-13,1842.65,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,97.6
2020-01-13,10691.61,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,EUR,96.8
2020-01-13,16000,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,AUD,21.2
2020-01-13,11349.5,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,GBP,41.9
2020-01-13,4319.63,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,91.9
2020-01-13,335550,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,10.4
2020-01-13,186723.01,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,96.3
2020-01-13,792.82,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,EUR,53.8
2020-01-13,1357.75,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,GBP,84.3
2020-01-13,283870.24,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,EUR,19.7
2020-01-13,16109.57,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,10.5
2020-01-13,1776.6,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,GBP,13.1
2020-01-13,10753.16,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,DKK,44
2020-01-13,3444,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,EUR,4.3
2020-01-13,2030.68,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,17.6
2020-01-13,8673.56,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,GBP,96.8
2020-01-14,448.17,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,87.7
2020-01-14,8869.09,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,EUR,13.3
2020-01-14,10561.02,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,GBP,46.5
2020-01-14,18122.97,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,EUR,29.1
2020-01-14,4582,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,67.6
2020-01-14,3175,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,EUR,96.7
2020-01-14,1614.83,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,44.9
2020-01-14,3122.61,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,98.1
2020-01-14,6706.25,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,56.4
2020-01-14,10039.14,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,30.2
2020-01-14,289.24,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,GBP,65
2020-01-14,50000,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,JPY,73.7
2020-01-14,538.76,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,44.5
2020-01-14,7026.75,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,3.6
2020-01-14,877.43,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,99.2
2020-01-14,5257.56,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,66
2020-01-14,2103.72,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,EUR,7
2020-01-14,7577.79,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,EUR,20.6
2020-01-14,12205.25,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,NOK,52.5
2020-01-14,1077.88,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,40.5
2020-01-14,2596.49,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,23.1
2020-01-14,3847.93,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,50.5
2020-01-14,1584.15,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,EUR,59.9
2020-01-14,3973.81,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,GBP,79.5
2020-01-14,48507.89,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,EUR,65.4
2020-01-14,10589.68,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,21
2020-01-15,4297.84,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,GBP,49.1
2020-01-15,67815.43,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,91.2
2020-01-15,2085,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,56.1
2020-01-15,898.72,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,EUR,47.9
2020-01-15,40372.64,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,24.9
2020-01-15,18233.96,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,GBP,31.8
2020-01-15,1059.96,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,48.2
2020-01-15,4939.88,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,JPY,84.7
2020-01-15,524.57,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,GBP,20.8
2020-01-15,829.9,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,EUR,26.8
2020-01-15,9557.24,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,16.8
2020-01-15,3870.49,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,GBP,90.1
2020-01-15,56.82,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,17.8
2020-01-15,4309.38,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,69.5
2020-01-15,11307.31,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,GBP,32.3
2020-01-15,3178.6,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,GBP,7.2
2020-01-15,11959.99,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,GBP,62.3
2020-01-15,17742.74,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,48.5
2020-01-15,1822.73,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,94
2020-01-15,154.29,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,53.5
2020-01-16,4689.3,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,63
2020-01-16,72561.14,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,MXN,70.6
2020-01-16,20586.63,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,EUR,74.4
2020-01-16,8464.86,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,95.5
2020-01-16,2006.46,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,48.8
2020-01-16,119304,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,NZD,47.2
2020-01-16,1683.15,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,6.5
2020-01-16,11297.66,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,GBP,70.7
2020-01-16,7658.07,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,GBP,20.6
2020-01-16,3366,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,60.2
2020-01-16,2927.45,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,JPY,63.9
2020-01-16,1294.75,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,EUR,1.3
2020-01-16,16836.45,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,EUR,2.5
2020-01-16,210.83,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,CAD,3.7
2020-01-16,8206.28,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,51.1
2020-01-16,989.18,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,GBP,17.9
2020-01-16,2864.45,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,EUR,65.1
2020-01-17,43925.82,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,9.8
2020-01-17,5609.5,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,75.1
2020-01-17,2608.69,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,EUR,93.2
2020-01-17,1413.52,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,AUD,1.2
2020-01-17,782.11,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,86.7
2020-01-17,7502.71,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,17.6
2020-01-17,561.25,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,85.5
2020-01-17,4245.15,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,GBP,46
2020-01-17,1789.49,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,GBP,16.4
2020-01-17,23018.65,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,57
2020-01-17,166.92,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,AUD,84
2020-01-17,11006.71,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,2.1
2020-01-17,438.92,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,3.7
2020-01-17,647.69,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,53.4
2020-01-17,22288,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,CZK,59.8
2020-01-17,4781.4,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,GBP,83.4
2020-01-17,5497.31,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,88.6
2020-01-17,3286.06,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,JPY,44.7
2020-01-17,25371.2,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,67.7
2020-01-17,24271.52,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,JPY,14
2020-01-21,385.36,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,CAD,31.4
2020-01-21,12906.09,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,69.4
2020-01-21,2583.54,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,AUD,18.8
2020-01-21,5559.84,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,74.8
2020-01-21,564.34,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,79.4
2020-01-21,1322.2,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,GBP,80.2
2020-01-21,1271.82,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,46.6
2020-01-21,202601.88,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,86.2
2020-01-21,39624.96,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,EUR,45.3
2020-01-21,3964.79,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,33.1
2020-01-21,49746.77,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,10.1
2020-01-21,3542.38,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,EUR,41.7
2020-01-21,934.41,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,72.4
2020-01-21,12441.34,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,36.3
2020-01-21,3062.71,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,JPY,60.4
2020-01-21,2121.04,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,1.4
2020-01-21,10385.78,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,35.6
2020-01-21,1638.56,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,19.5
2020-01-21,23494.05,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,85.8
2020-01-21,20234.76,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,60
2020-01-21,110650,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,89.4
2020-01-21,2377.16,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,70.4
2020-01-21,4261.51,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,EUR,47.6
2020-01-21,20288,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,59.3
2020-01-21,2256.62,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,JPY,38.6
2020-01-21,20164.46,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,44.3
2020-01-21,2637.6,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,GBP,92.5
2020-01-21,144362.7,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,EUR,61.2
2020-01-21,2027.82,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,GBP,7.5
2020-01-21,109.56,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,22.4
2020-01-21,223.48,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,58.7
2020-01-21,90.07,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,EUR,3
2020-01-21,3265.82,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,EUR,27.7
2020-01-21,10265.82,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,2.4
2020-01-21,8123.26,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,44.9
2020-01-21,314.42,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,GBP,95.6
2020-01-21,1200000,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,CNY,5.9
2020-01-21,1833.4,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,72.3
2020-01-21,3706.76,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,13.2
2020-01-21,788.62,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,NZD,10.5
2020-01-21,7602.32,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,EUR,5.5
2020-01-22,558.55,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,EUR,76.6
2020-01-22,3352.2,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,94
2020-01-22,72969.95,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,CAD,23.6
2020-01-22,1679.67,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,EUR,6.4
2020-01-22,3287,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,GBP,15.8
2020-01-22,3217.96,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,CAD,16.8
2020-01-22,5447.31,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,GBP,79
2020-01-22,111100,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,39.2
2020-01-22,670.56,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,33.9
